model,precision,recall,f1,roc_auc
Logistic Regression (SMOTE + Scaled),0.16279069767441862,0.28,0.20588235294117646,0.43873684210526315
Random Forest (SMOTE),0.18181818181818182,0.08,0.1111111111111111,0.39694736842105266
